,Duration (ms),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
0,161240,0.815,0.834,4,-2.828,0,0.0475,0.0327,0.000268,0.27,0.692,129.989,161240,4
1,121226,0.899,0.823,11,-5.002,0,0.114,0.0264,0.00222,0.342,0.625,123.983,121227,4
2,152186,0.795,0.869,4,-4.456,0,0.116,0.0927,0,0.109,0.525,121.941,152187,4
3,174386,0.755,0.87,1,-2.414,0,0.0936,0.00988,0,0.0917,0.645,124.032,174387,4
4,178453,0.726,0.91,4,-1.948,0,0.179,0.0413,7.81E-06,0.479,0.648,135.966,178453,4
5,191100,0.566,0.769,7,-4.342,1,0.0872,0.0183,0,0.108,0.385,170.036,191100,4
6,160520,0.838,0.823,8,-3.929,0,0.164,0.0864,7.12E-05,0.156,0.759,94.024,160520,4
7,217088,0.66,0.787,1,-4.592,0,0.032,0.00257,0,0.323,0.199,142.018,217088,4
8,171666,0.8,0.87,0,-5.787,0,0.0832,0.0693,0.000584,0.0742,0.434,120.06,171667,4
9,187644,0.557,0.739,6,-3.686,0,0.254,0.00148,0,0.0663,0.768,176.001,187644,4
10,179706,0.736,0.663,1,-4.37,0,0.121,0.187,0,0.11,0.753,92.924,179707,4
11,198826,0.815,0.813,3,-5.901,0,0.0434,0.0012,5.96E-05,0.246,0.584,124.975,198827,4
12,193398,0.632,0.914,1,-3.513,1,0.142,0.00339,0,0.134,0.591,134.899,193399,4
13,244300,0.878,0.732,1,-5.197,1,0.0442,0.108,0,0.105,0.828,126.987,244300,4
14,248026,0.704,0.852,11,-4.13,1,0.0427,0.0339,0,0.125,0.693,147.944,248027,4
15,214478,0.803,0.903,5,-5.071,0,0.0508,0.00793,3.91E-06,0.132,0.665,130.002,214479,4
16,204000,0.615,0.888,3,-4.79,1,0.0303,0.165,0,0.204,0.74,131.995,204000,4
17,239261,0.741,0.896,3,-2.445,0,0.104,0.0447,0,0.389,0.886,123.018,239262,4
18,203148,0.79,0.918,8,-4.223,1,0.0718,0.046,0,0.291,0.752,108.977,203148,4
19,214973,0.644,0.872,6,-1.54,0,0.0417,0.164,0,0.363,0.378,131.016,214973,4
20,197040,0.757,0.898,11,-1.247,0,0.0667,0.0138,0,0.0703,0.842,114.949,197040,4
21,203216,0.782,0.767,0,-5.383,1,0.0529,0.11,0.00323,0.496,0.548,115.027,203216,4
22,238143,0.727,0.879,9,-1.167,1,0.129,0.124,1.17E-05,0.244,0.671,146.959,238144,4
23,149718,0.586,0.816,7,-6.331,1,0.283,0.0911,2.81E-06,0.235,0.265,119.8,149719,4
24,221573,0.82,0.852,11,-2.567,0,0.166,0.488,5.94E-06,0.0907,0.82,109.036,221573,4
25,174933,0.612,0.912,2,-2.853,1,0.0796,0.064,0.000799,0.0843,0.472,90.006,174933,4
26,195053,0.75,0.718,2,-2.817,0,0.0468,0.0814,1.75E-05,0.322,0.592,90.027,195053,4
27,240440,0.57,0.974,3,-0.173,0,0.325,0.115,0.000594,0.125,0.65,171.958,240440,4
28,210560,0.7,0.753,11,-3.841,0,0.0441,0.0539,1.72E-05,0.072,0.146,97.998,210560,4
29,229678,0.497,0.431,5,-4.755,0,0.0287,0.66,0,0.153,0.167,133.675,229678,4
30,223706,0.294,0.342,1,-6.341,1,0.0395,0.469,6.79E-06,0.0958,0.229,135.084,223707,4
31,211330,0.43,0.814,7,-3.667,1,0.123,0.702,2.52E-06,0.125,0.406,179.988,211331,4
32,256305,0.298,0.562,3,-5.193,1,0.0313,0.788,0,0.203,0.217,136.687,256305,4
33,233813,0.608,0.876,7,-1.997,0,0.0557,0.228,0,0.107,0.247,129.963,233813,4
34,256173,0.439,0.564,6,-6.711,1,0.0408,0.408,0,0.108,0.167,131.715,256173,4
35,220437,0.627,0.857,7,-2.948,1,0.0808,0.214,0,0.0974,0.878,83.896,220438,4
36,263802,0.405,0.416,9,-4.6,1,0.0339,0.811,0,0.0886,0.302,72.854,263803,4
37,221746,0.384,0.419,8,-5.321,1,0.0368,0.729,0,0.122,0.17,129.619,221747,4
38,235666,0.592,0.601,10,-3.411,1,0.0296,0.662,0,0.141,0.212,129.006,235667,4
39,179808,0.758,0.858,5,-2.502,1,0.0464,0.43,0,0.201,0.963,119.992,179808,4
40,219533,0.701,0.968,1,-0.913,1,0.078,0.103,0,0.832,0.913,100.009,219533,4
41,196522,0.661,0.97,0,-1.802,1,0.091,0.137,0,0.887,0.773,125.993,196522,4
42,224948,0.744,0.852,8,-2.79,0,0.0365,0.11,0,0.0634,0.812,123.938,224948,4
43,214588,0.743,0.883,11,-2.016,1,0.0374,0.307,0,0.304,0.881,109.979,214589,4
44,187024,0.603,0.876,5,-3.217,0,0.25,0.0745,0,0.447,0.887,187.936,187025,4
45,221778,0.802,0.864,7,-3.888,1,0.0639,0.0293,0,0.335,0.745,111.994,221779,4
46,202680,0.601,0.871,7,-1.469,1,0.0619,0.0374,0,0.391,0.66,127.978,202680,4
47,191226,0.758,0.93,5,-1.483,0,0.0547,0.448,0,0.334,0.943,104.971,191226,4
48,215197,0.659,0.834,6,-2.901,1,0.0473,0.0335,5.09E-06,0.0364,0.679,103.007,215198,4
49,198365,0.83,0.791,5,-5.185,0,0.049,0.027,0,0.343,0.466,119.024,198366,4
50,187310,0.532,0.896,8,-4.356,1,0.184,0.00869,0,0.106,0.479,150.06,187311,4
51,209538,0.68,0.709,2,-6.427,1,0.08,0.0306,3.43E-06,0.32,0.355,144.01,209538,4
52,197025,0.482,0.884,6,-4.538,0,0.0668,0.000677,0.000575,0.0883,0.377,171.915,197026,4
53,207921,0.555,0.89,9,-5.349,1,0.132,0.00399,0,0.0506,0.581,181.963,207922,4
54,196670,0.692,0.835,6,-4.978,0,0.0628,0.0517,0,0.134,0.566,80.017,196670,4
55,206565,0.588,0.592,7,-4.934,1,0.0736,0.0241,0,0.123,0.193,140.193,206565,4
56,217485,0.607,0.711,11,-4.966,0,0.222,0.0319,0,0.471,0.512,179.952,217486,3
57,199013,0.572,0.964,4,-1.949,0,0.123,0.0503,0,0.372,0.519,129.979,199013,4
58,230477,0.695,0.828,2,-5.329,1,0.0506,0.0176,1.11E-06,0.0953,0.363,100.003,230477,4
59,213053,0.438,0.632,7,-4.447,0,0.0417,0.434,0,0.214,0.386,61.45,213053,4
60,210893,0.706,0.692,1,-4.084,0,0.0483,0.338,0,0.113,0.526,136.078,210893,4
61,227173,0.649,0.767,11,-3.838,0,0.0455,0.24,0,0.0929,0.608,149.918,227173,4
62,222415,0.718,0.476,4,-9.205,1,0.139,0.422,0,0.0876,0.448,48.973,222415,4
63,235509,0.674,0.589,6,-3.806,0,0.112,0.267,0,0.312,0.577,83.985,235509,4
64,205293,0.684,0.595,4,-5.423,0,0.0364,0.286,8.55E-06,0.106,0.564,95.059,205293,4
65,256693,0.635,0.562,5,-5.374,1,0.0333,0.85,0,0.173,0.299,84.925,256693,4
66,193930,0.606,0.46,4,-9.171,1,0.0402,0.853,4.09E-06,0.0933,0.131,124.117,193931,4
67,220177,0.69,0.843,1,-2.949,1,0.0534,0.0167,0,0.346,0.428,135.01,220178,4
68,231626,0.723,0.828,11,-3.498,0,0.0729,0.00455,0,0.0405,0.433,130.01,231627,4
69,256359,0.687,0.914,6,-5.02,1,0.0437,0.166,0,0.0858,0.675,126.001,256360,4
70,219370,0.639,0.692,3,-4.127,1,0.107,0.338,0,0.356,0.488,89.846,219371,4
71,188369,0.68,0.584,8,-4.457,1,0.034,0.443,0,0.0628,0.239,118.06,188369,4
