,Duration (ms),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
1620,222911,0.492,0.688,10,-4.989,0,0.046,0.0724,0.0029,0.0881,0.316,123.069,222912,4
1621,196939,0.582,0.893,6,-4.311,0,0.101,0.0113,0.000441,0.047,0.524,182.029,187120,4
1622,190050,0.608,0.71,11,-4.998,1,0.0636,0.43,0,0.0903,0.613,124.985,190051,4
1623,332200,0.319,0.435,10,-8.181,1,0.0355,0.146,0,0.0995,0.296,120.503,332200,4
1624,180146,0.801,0.589,7,-5.157,1,0.0485,0.0863,0,0.162,0.58,116.934,180147,4
1625,199693,0.72,0.909,8,-3.258,0,0.0952,0.0904,0,0.137,0.877,91.022,199693,4
1626,188800,0.534,0.911,4,-3.086,0,0.0852,0.15,0,0.0986,0.624,93.767,188800,4
1627,172832,0.827,0.731,4,-5.524,0,0.088,0.13,0,0.418,0.607,118.992,172833,4
1628,237000,0.446,0.701,9,-4.179,0,0.0295,0.0298,0.00000889,0.0931,0.394,159.958,237000,3
1629,240133,0.531,0.843,9,-2.569,0,0.0429,0.0909,0,0.0283,0.392,136.991,240133,4
1630,163733,0.572,0.759,2,-4.312,1,0.0506,0.127,0,0.224,0.519,80.95,163733,4
1631,163733,0.572,0.759,2,-4.312,1,0.0506,0.127,0,0.224,0.519,80.95,163733,4
1632,163733,0.572,0.759,2,-4.312,1,0.0506,0.127,0,0.224,0.519,80.95,163733,4
1633,163733,0.572,0.759,2,-4.312,1,0.0506,0.127,0,0.224,0.519,80.95,163733,4
1634,189360,0.466,0.905,11,-4.486,1,0.0759,0.0182,0.000634,0.214,0.544,160.958,189360,4
1635,186540,0.595,0.267,0,-10.23,1,0.0308,0.836,0,0.158,0.229,105.205,186540,4
1636,199179,0.509,0.514,10,-11.283,1,0.123,0.121,0.00144,0.104,0.476,188.019,199179,4
1637,266306,0.683,0.664,5,-4.233,0,0.0332,0.538,0,0.0671,0.866,106.991,266307,4
1638,151702,0.509,0.691,9,-5.199,0,0.0446,0.0304,0,0.151,0.376,129.827,151703,4
1639,158554,0.64,0.94,5,-2.976,0,0.0795,0.00528,0.000484,0.357,0.243,127.995,158555,4
1640,159483,0.61,0.946,1,-4.69,1,0.149,0.0226,0.377,0.196,0.319,155.064,159484,3
1641,161093,0.693,0.738,5,-7.642,0,0.0296,0.0767,0.0000166,0.146,0.657,123.006,161093,4
1642,198995,0.647,0.726,3,-4.389,0,0.0552,0.157,0,0.0844,0.769,114.998,198996,4
1643,198946,0.703,0.66,10,-5.119,0,0.123,0.137,0,0.192,0.79,95.033,198947,4
1644,205593,0.756,0.589,0,-5.093,1,0.232,0.0812,0,0.176,0.811,146.928,205593,4
1645,258933,0.735,0.686,4,-7.562,0,0.0366,0.00108,0.874,0.0933,0.0656,121.011,258933,4
1646,199179,0.674,0.694,9,-7.076,0,0.109,0.313,0.00000717,0.0752,0.203,101.993,199179,4
1647,209693,0.684,0.885,0,-2.882,1,0.0561,0.127,0,0.212,0.654,173.846,209693,4
1648,160212,0.722,0.656,1,-4.947,1,0.0584,0.14,0,0.321,0.765,94.001,160213,4
1649,218005,0.625,0.98,5,-4.222,0,0.132,0.11,0.00000807,0.409,0.408,113.027,218005,4
1650,218005,0.625,0.98,5,-4.222,0,0.132,0.11,0.00000807,0.409,0.408,113.027,218005,4
1651,218005,0.625,0.98,5,-4.222,0,0.132,0.11,0.00000807,0.409,0.408,113.027,218005,4
1652,218005,0.625,0.98,5,-4.222,0,0.132,0.11,0.00000807,0.409,0.408,113.027,218005,4
1653,252218,0.478,0.851,6,-5.936,0,0.377,0.0848,0,0.48,0.575,155.856,252218,4
1654,252218,0.478,0.851,6,-5.936,0,0.377,0.0848,0,0.48,0.575,155.856,252218,4
1655,252218,0.478,0.851,6,-5.936,0,0.377,0.0848,0,0.48,0.575,155.856,252218,4
1656,252218,0.478,0.851,6,-5.936,0,0.377,0.0848,0,0.48,0.575,155.856,252218,4
1657,216504,0.606,0.9,0,-4.504,1,0.119,0.0101,0,0.075,0.233,133.963,216504,4
1658,143833,0.861,0.611,1,-7.891,1,0.0427,0.0764,0,0.0763,0.803,114.995,143833,4
1659,159011,0.668,0.892,5,-3.001,0,0.0645,0.298,0,0.735,0.478,95.927,159011,4
1660,172630,0.892,0.588,1,-4.287,0,0.11,0.00319,0.000162,0.0498,0.753,120.042,172630,4
1661,218476,0.8,0.771,10,-6.638,0,0.123,0.0531,0,0.229,0.886,118.991,218476,4
1662,227320,0.44,0.683,11,-4.732,0,0.0489,0.00706,0,0.0593,0.445,185.948,227320,4
1663,198733,0.49,0.798,6,-3.66,1,0.0489,0.0137,0,0.0627,0.479,149.109,198733,4
1664,226493,0.359,0.518,2,-3.537,1,0.0302,0.665,0,0.106,0.135,76.572,226493,4
1665,245699,0.614,0.684,0,-5.79,1,0.157,0.247,0,0.0976,0.258,156.85,245700,4
1666,201347,0.512,0.256,7,-10.424,1,0.0293,0.893,0,0.124,0.214,88.021,201347,4
1667,194406,0.662,0.764,11,-5.224,0,0.111,0.046,0,0.0947,0.74,99.971,194406,4
1668,135428,0.591,0.921,11,-5.572,0,0.0656,0.00261,0.00512,0.946,0.436,140.063,135429,4
1669,170000,0.617,0.883,1,-6.312,1,0.037,0.00108,0.0177,0.337,0.102,140.012,170000,4
1670,193270,0.836,0.684,11,-5.818,1,0.241,0.122,0,0.0854,0.514,151.007,193271,4
1671,180000,0.539,0.952,5,-3.261,0,0.0437,0.00455,0.0155,0.275,0.297,129.968,180000,4
1672,186018,0.653,0.801,0,-6.632,1,0.0574,0.0716,0.00000151,0.269,0.336,121.106,186018,4
1673,185875,0.817,0.799,10,-5.704,0,0.0721,0.0295,0.0000856,0.129,0.56,118.014,185875,4
1674,288110,0.42,0.675,4,-8.204,1,0.0443,0.241,0,0.237,0.208,147.802,288110,4
1675,190697,0.678,0.728,5,-4.007,1,0.0825,0.269,0,0.26,0.897,185.838,190698,4
1676,188217,0.72,0.87,3,-5.155,0,0.142,0.0682,0,0.144,0.802,160.039,188218,4
1677,188217,0.72,0.87,3,-5.155,0,0.142,0.0682,0,0.144,0.802,160.039,188218,4
1678,188217,0.72,0.87,3,-5.155,0,0.142,0.0682,0,0.144,0.802,160.039,188218,4
1679,188217,0.72,0.87,3,-5.155,0,0.142,0.0682,0,0.144,0.802,160.039,188218,4
1680,206378,0.426,0.763,4,-4.369,1,0.049,0.197,0.00000643,0.264,0.195,155.92,206379,4
1681,204266,0.631,0.512,0,-9.675,0,0.0572,0.511,0,0.0827,0.529,106.027,204267,4
1682,228533,0.408,0.868,2,-4.438,0,0.0837,0.0082,0,0.151,0.387,83.469,228533,4
1683,198973,0.548,0.889,9,-4.682,1,0.0382,0.00165,0.00109,0.197,0.425,90.048,198973,4
1684,236786,0.597,0.82,5,-2.529,1,0.0582,0.0328,0,0.119,0.576,119.969,236787,4
1685,212173,0.624,0.805,9,-2.632,1,0.029,0.0466,0,0.328,0.77,123.991,212173,4
1686,158805,0.591,0.841,4,-4.351,0,0.0304,0.0119,0,0.395,0.392,109.034,158805,4
1687,178746,0.62,0.478,11,-5.68,1,0.0363,0.815,0,0.0976,0.312,83.861,178746,4
1688,223413,0.618,0.59,7,-7.186,0,0.0427,0.778,0.00788,0.0906,0.896,174.265,223413,4
