,Duration (ms),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
1633,222800,0.618,0.494,1,-10.417,1,0.0403,0.773,0.00185,0.0911,0.852,169.805,221647,4
1634,184721,0.808,0.497,6,-4.008,1,0.0453,0.18,0,0.0642,0.962,87.987,184722,4
1635,222680,0.721,0.637,9,-5.134,1,0.286,0.0406,0,0.0525,0.691,193.922,222680,4
1636,204563,0.719,0.753,7,-4.891,1,0.179,0.118,0.00000421,0.212,0.675,174.107,204564,4
1637,188213,0.483,0.492,0,-6.591,0,0.295,0.603,0,0.323,0.66,144.511,188213,4
1638,197284,0.862,0.72,4,-4.155,1,0.0361,0.476,0,0.0543,0.967,129.993,197284,4
1639,220872,0.728,0.759,4,-4.459,1,0.348,0.625,0,0.0737,0.664,93.984,220872,4
1640,179339,0.727,0.838,9,-2.435,1,0.0472,0.297,0,0.0603,0.933,145.995,179339,4
1641,215600,0.817,0.851,11,-3.309,0,0.0627,0.0351,0,0.232,0.886,127.019,215600,4
1642,189333,0.746,0.844,11,-3.499,0,0.0359,0.062,0,0.149,0.934,123.014,189333,4
1643,195333,0.715,0.611,4,-5.094,0,0.0519,0.176,0,0.0949,0.776,79.971,195333,4
1644,194742,0.742,0.859,10,-4.942,1,0.0482,0.0824,0,0.359,0.652,95.046,194742,4
1645,199733,0.695,0.379,6,-9.096,1,0.0339,0.861,0,0.106,0.808,105.108,199733,4
1646,163813,0.773,0.378,1,-7.062,0,0.0531,0.14,0,0.133,0.513,94.946,163813,4
1647,147720,0.756,0.739,0,-4.378,1,0.0508,0.144,0,0.108,0.627,92.061,147720,4
1648,183253,0.687,0.888,0,-3.627,0,0.207,0.0985,0,0.159,0.714,192.047,183253,4
1649,229386,0.775,0.679,11,-4.985,1,0.0465,0.147,0,0.155,0.674,91,229387,4
1650,201626,0.411,0.508,5,-4.342,1,0.0557,0.29,0,0.123,0.668,81.96,201627,3
1651,197052,0.845,0.795,9,-3.502,0,0.0681,0.343,0.0000178,0.224,0.681,94.969,197053,4
1652,216338,0.458,0.52,1,-6.902,0,0.175,0.58,0.0000598,0.248,0.38,141.636,216338,4
1653,222461,0.773,0.893,1,-3.733,0,0.0483,0.164,0.00000301,0.429,0.842,130.013,222462,4
1654,224996,0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,224997,4
1655,199604,0.78,0.719,3,-3.613,0,0.0506,0.302,0.000196,0.0931,0.336,127.962,199604,4
1656,197101,0.836,0.826,11,-2.66,0,0.0461,0.213,0.00000603,0.0814,0.579,102.025,197101,4
1657,321555,0.75,0.522,9,-7.018,1,0.0293,0.282,0,0.0743,0.601,110.427,321556,4
1658,227628,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,227629,4
1659,222560,0.761,0.838,4,-3.073,0,0.0502,0.4,0,0.176,0.71,93.974,222560,4
1660,188800,0.534,0.911,4,-3.086,0,0.0852,0.15,0,0.0986,0.624,93.767,188800,4
1661,206920,0.798,0.809,5,-6.152,1,0.0839,0.0317,0,0.214,0.471,90.006,206920,4
1662,176298,0.656,0.705,5,-4.262,0,0.0908,0.166,0,0.202,0.53,172.003,176298,4
1663,165533,0.856,0.718,0,-5.647,1,0.0488,0.038,0,0.0697,0.829,122.019,165533,4
1664,210600,0.706,0.884,10,-3.767,1,0.0435,0.292,0,0.344,0.506,90.036,210600,4
1665,189363,0.564,0.89,5,-4.286,1,0.107,0.0918,0,0.0819,0.636,180.112,189363,4
1666,174200,0.803,0.705,10,-5.316,1,0.0624,0.107,0.0000036,0.147,0.49,90.995,174200,4
1667,188598,0.702,0.758,9,-4.405,1,0.278,0.14,0,0.111,0.837,167.915,188598,4
1668,185240,0.663,0.874,0,-3.783,1,0.0506,0.147,0,0.367,0.554,91.85,185240,4
1669,260370,0.685,0.61,5,-5.36,0,0.0343,0.00348,0.00054,0.183,0.464,107.999,260371,4
1670,187723,0.642,0.706,7,-6.872,0,0.052,0.518,0,0.25,0.896,136.851,187723,4
1671,160191,0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,160191,4
1672,208853,0.574,0.479,8,-7.776,1,0.0355,0.179,0.0803,0.106,0.303,115.263,208854,4
1673,207454,0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,207455,4
1674,199505,0.675,0.761,4,-4.469,0,0.0466,0.432,0,0.102,0.428,119.001,199506,4
1675,219642,0.677,0.818,0,-3.439,1,0.236,0.0743,0.00042,0.297,0.499,111.961,219643,4
1676,188268,0.791,0.664,1,-6.183,0,0.057,0.0261,0,0.2,0.194,119.962,188269,4
1677,156436,0.641,0.843,10,-6.126,0,0.123,0.623,0,0.156,0.913,82.186,156436,4
1678,140625,0.833,0.809,5,-2.751,0,0.0381,0.0836,0,0.112,0.905,128.055,140625,4
